SMILES	abs_wl_max	abs_intensity	ems_wl_max	ems_intensity
C1=CC2=C3C(=C(C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])C=CC4=C(C=C(C1=C43)O)S(=O)(=O)[O-]	235.0	1.0	512.0	1.0
C1=CC=C(C=C1)C#CC2=CC=CC=C2	278.75	1.0	302.0	1.0
C1=CC=C(C=C1)/C=C\C2=CC=CC=C2	276.0	1.0		
C1=CC=C(C=C1)/C=C/C2=CC=CC=C2	293.75	1.0	345.0	1.0
C1=CC=C(C=C1)C#CC#CC2=CC=CC=C2	326.0	1.0	330.0	1.0
C1=CC=C(C=C1)/C=C/C=C/C2=CC=CC=C2	330.0	1.0	373.0	1.0
C1=CC=C(C=C1)/C=C/C=C/C=C/C2=CC=CC=C2	353.25	1.0	425.0	1.0
CN(C)C1=CC=C(C=C1)/C=C/C2=CC=C(C=C2)[N+](=O)[O-]	432.25	1.0	588.0	1.0
COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O	425.0	1.0	542.0	1.0
CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=O)/C)/C	372.0	1.0		
CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(CCCC2(C)C)C)\C)\C)/C)/C	451.0	1.0		
C1=CC=NC=C1	251.0	1.0		
C1=CC=[N+](C=C1)[O-]	276.0	1.0		
CC(=O)C1=CC=CC=N1	227.0	1.0		
CN(C)C1=CC=NC=C1	257.0	1.0	443.0	1.0
C1=CC(=CC=C1CC2=CC=NC=C2)[N+](=O)[O-]	265.0	1.0		
C1=NC=NC=N1	270.0	1.0		
C1=CC=C2C(=C1)C(=O)NC2=O	215.0	1.0		
C1=CC=NC(=C1)C2=CC=CC=N2	281.0	1.0		
C1=CN=CC=C1C2=CC=NC=C2	238.0	1.0		
C1=CC=C2C(=C1)C=CC=N2	204.0	1.0	301.0	1.0
C1=CC2=C(C(=C1)C(=O)O)N=CC=C2	219.0	1.0	301.0	1.0
C1=CC=C2C(=C1)C=C(C=N2)C=O	245.0	1.0		
C1=CC=C2C(=C1)N=CS2	217.0	1.0		
C1=CC2=NNN=C2C=C1	253.0	1.0		
CC1=NC2=CC=CC=C2O1	231.75	1.0	300.0	1.0
C1=CNC=C1	206.0	1.0		
C1=CNC(=C1)C=O	278.0	1.0		
CC1=CC=C(C=C1)S(=O)(=O)[O-].CN\1C2=CC=CC=C2S/C1=C\C3=CC=[N+](C4=CC=CC=C34)C	502.0	1.0		
CC1=CC2=C(C=C1)[N+](=C(S2)C3=CC=C(C=C3)N(C)C)C	413.0	1.0	484.0	1.0
C1=CN=C(N=C1)C2=NC=CC=N2.C1=CN=C(N=C1)C2=NC=CC=N2.C1=CN=C(N=C1)C2=NC=CC=N2.Cl.Cl.[Ru]	286.0	1.0	623.5	1.0
C1=C(C2=NON=C2C(=C1)Cl)[N+](=O)[O-]	336.0	1.0		
C1=CC=C(C=C1)CNC2=CC=C(C3=NON=C23)[N+](=O)[O-]	460.5	1.0	529.0	1.0
CC1=CC(=O)NC2=C1C=CC(=C2)N	219.0	1.0	417.0	1.0
C1=CC=C2C(=C1)C(=O)C(C2=O)C3=NC4=C(C=C(C=C4C=C3)S(=O)(=O)[O-])S(=O)(=O)[O-]	413.0	1.0		
C1=CC=C(C=C1)C2=NN([N+](=N2)C3=CC=CC=C3)C4=CC=CC=C4	247.0	1.0		
COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O.COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O.O.O.OS(=O)(=O)O	349.0	1.0	451.0	1.0
C[C@@H](C(=O)O)N	262.0	1.0		
C1=CC=C(C=C1)C[C@@H](C(=O)O)N	257.5	1.0	279.5	1.0
C1=CC(=CC=C1C[C@@H](C(=O)O)N)O	274.25	1.0	303.0	1.0
C1=C(NC=N1)C[C@@H](C(=O)O)N	211.0	1.0		
C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N	278.0	1.0	354.0	1.0
C1=NC2=C(N1)C(=NC=N2)N	261.0	1.0		
C1=NC2=C(N1)C(=O)NC(=N2)N	243.0	1.0		
C1=C(NC(=O)N=C1)N	266.75	1.0		
CC1=CNC(=O)NC1=O	263.75	1.0		
C1=CNC(=O)NC1=O	258.25	1.0		
CC1=NC(=NC=C1)N	228.0	1.0		
CC1=CC(=O)NC(=O)N1	259.0	1.0		
C1=CC=C(C(=C1)CO)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O	212.0	1.0		
CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O	263.0	1.0	531.0	1.0
C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O	265.0	1.0		
CC1=C(C(=C2CC[C@@](OC2=C1C)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C)O	206.0	1.0	326.0	1.0
CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(\C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C	248.0	1.0		
C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N	281.0	1.0	452.0	1.0
C1=CC(=O)C=CC1=O	239.75	1.0		
C1=CC(=CC=C1O)O	225.0	1.0	324.0	1.0
